Ref Des,Mid X mm,Mid Y mm,Rotation,Comment,Package,LCSC Part number
3V3_TP16,80.01,104.14,0,TPTP20R,TP20R,
BOOT_BUTTON,24,108.53,180,BUTTON_CUSYOMV1,MYBUTTON,
C1,154.94,6.35,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10,69.6,107.53,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C10_SUPERCAP,78.74,46.99,270,CPH3225A,CAPCP3225X100N,
C1_BAT,140.97,44.45,180,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT1,123.7,43.82,270,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C1_BAT2,107.95,45.72,270,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2,156.21,6.35,90,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C2_BAT,135.89,48.26,90,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C3,111.63,45.21,270,100uF,RCL_CT3528,
C4,139.7,16.51,270,4.7uF/25V,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C4_USB,158.62,53.48,0,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5,43.43,107.95,270,1uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C5_USB,158.62,54.76,0,4.7uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C6,27.94,107.53,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C7,139.7,29.21,90,10uF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C8,76.2,46.99,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
C9,6.35,101.6,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
CHANGE_BUTTON,64,108.53,180,BUTTON_CUSYOMV1,MYBUTTON,
CHG_LED,143.51,52.07,90,,ADAFRUIT_CHIP-LED0603,
C_DELAY,49.53,99.06,270,100nF,ESP32_WROVER_EAGLE-LTSPICE_C0402,
D1,153.67,58.42,0,USBLC6-2SC6Y,SOT95P280X145-6N,
D10,33.02,86.36,90,PGB1010603MR,DIOC1608X36N,
